translator,PC1,PC2,entropy
Kumarajiva,-1.3220791814567725,-8.396393585527587,7.009950819580014
Kumarajiva,5.439349663876319,-8.330011773030844,6.648384639154197
Kumarajiva,9.733777855044783,-4.361856549361263,6.646031672615771
Kumarajiva,5.33436795990741,-2.959979368474461,6.845079183691849
Kumarajiva,-0.38054992830889767,-5.895730949199307,6.69160942738266
Kumarajiva,-5.738812240584334,-8.642272652381045,6.847740015823904
Kumarajiva,-6.667952217930732,-9.358932949995255,7.032779247502023
Kumarajiva,0.8425984044351843,-8.027241750309576,6.56462596121651
Kumarajiva,7.9487703325313355,-4.279809807159248,6.156602938571201
Kumarajiva,7.318722389479932,-4.555696678499289,6.38925599001088
Kumarajiva,5.365605704162674,-6.103411381033939,6.485483857164766
Xuanzang,-4.633619530980421,-2.712727408747769,7.1059760774496
Xuanzang,-6.529576554452992,-2.5683669885767375,6.664258954389713
Xuanzang,-1.3725807745205265,2.3360485022620305,6.818098940031053
Xuanzang,6.221625936654062,5.7095575471187034,6.66331964714828
Xuanzang,6.891045819743574,3.9185032815403877,6.640279635057474
Xuanzang,3.8334806023765196,11.424947991454731,7.02977483420261
Xuanzang,1.6188450684094708,14.844568968068144,6.87318924048441
Xuanzang,-3.277005968737846,6.072260240851902,6.956023580906115
Xuanzang,-7.583413627045996,1.8763499107388066,6.64768131634328
Xuanzang,-9.46308183066717,4.003341784789364,6.91756360257258
Xuanzang,-13.557434296698695,5.032095657624783,7.099401309572515
Xuanzang,-13.788888156505562,1.0238730763041746,7.208693879825775
Xuanzang,-6.122907718883919,-0.9093631926961407,6.9760642280466705
Xuanzang,2.4355181597640074,0.16070340509981582,6.340178014843586
Xuanzang,7.312941660453146,4.3452450539180685,6.2649031149927525
Xuanzang,7.529220042543708,4.876773349788074,6.264335295752405
Xuanzang,1.2499824023436035,3.6019808885255977,6.647082188363106
Xuanzang,-0.31354693171808173,4.62679084760129,6.774884780059934
Xuanzang,1.675596956766204,3.248754529306595,6.636276558105543
